MarketingStatusID	ApplNo	ProductNo
3	009659	002
3	009660	002
3	009660	004
3	009660	007
3	009660	008
3	009663	001
3	009663	003
3	009667	001
3	009667	002
3	009668	001
3	009668	002
3	009698	002
3	009698	004
3	009729	001
3	009750	001
3	009766	001
3	009766	002
1	009768	001
3	009789	003
3	009796	001
3	009818	003
3	009818	005
1	009829	002
1	009830	001
3	009838	001
3	009838	002
3	009854	001
3	009859	001
3	009859	002
3	009864	001
1	009866	001
1	009866	002
1	009866	003
1	009866	004
3	009895	001
3	009895	003
3	009900	001
3	009925	001
3	009925	002
3	009926	002
3	009926	004
3	009986	002
3	009986	005
3	009986	006
3	009986	007
3	009986	008
3	009987	004
3	009996	001
3	010010	001
3	010010	002
3	010012	001
3	010021	002
3	010021	004
3	010021	007
3	010021	010
3	010028	004
3	010028	005
3	010040	001
3	010040	006
3	010040	012
3	010040	016
3	010040	017
1	010040	018
3	010040	019
3	010040	020
3	010040	021
1	010040	022
3	010060	001
3	010093	003
3	010093	007
3	010093	009
1	010104	003
3	010124	001
3	010124	002
3	010151	001
3	010155	002
1	010187	003
1	010187	006
1	010187	010
3	010209	002
3	010210	001
3	010210	002
3	010220	002
3	010220	003
3	010251	001
3	010255	002
3	010347	002
3	010347	004
3	010348	001
3	010348	002
3	010348	003
3	010348	004
3	010348	006
3	010349	006
3	010349	008
3	010355	001
3	010355	002
3	010374	003
3	010375	003
3	010375	004
1	010379	001
1	010379	002
1	010379	003
3	010392	001
3	010392	004
3	010392	005
3	010392	006
3	010401	001
1	010402	001
3	010417	001
3	010417	002
3	010418	005
3	010418	006
3	010418	007
3	010418	008
3	010418	009
3	010418	010
3	010423	001
3	010441	001
3	010441	002
3	010441	003
3	010441	004
3	010460	005
3	010485	001
3	010496	002
1	010515	001
3	010520	003
3	010533	001
3	010533	002
3	010554	001
3	010562	001
3	010571	001
3	010571	002
3	010571	003
3	010581	001
3	010585	002
3	010596	007
1	010596	008
3	010598	002
3	010599	001
3	010611	002
3	010611	006
3	010611	010
3	010653	001
3	010656	001
1	010669	002
3	010670	001
3	010670	002
3	010679	003
3	010679	004
3	010686	003
3	010686	006
3	010718	001
1	010721	001
1	010721	004
1	010721	005
1	010721	006
3	010742	002
3	010744	001
3	010753	001
3	010775	001
3	010775	002
3	010775	003
3	010775	004
3	010787	002
3	010791	001
3	010791	002
3	010791	003
3	010791	004
3	010791	005
3	010796	001
3	010796	002
3	010799	003
3	010799	010
3	010799	011
3	010831	001
3	010831	002
3	010841	001
3	010841	003
3	010895	002
3	010909	003
3	010911	006
3	010926	001
3	010926	002
3	010927	001
3	010929	001
3	010929	002
3	010929	003
3	010942	001
3	010942	003
3	010942	004
3	010962	002
3	010971	003
3	010971	005
3	010976	004
3	010976	005
3	010976	006
3	010976	007
3	010976	008
3	010996	005
3	010996	006
3	010996	007
3	010997	001
3	010997	003
3	011000	001
3	011000	002
3	011000	003
3	011000	004
3	011011	004
3	011011	006
3	011028	001
3	011045	001
3	011045	002
3	011047	001
3	011047	002
3	011073	003
3	011110	002
3	011111	001
3	011111	002
3	011120	016
3	011120	017
3	011120	018
3	011120	019
3	011120	020
3	011123	001
3	011123	002
3	011123	003
3	011127	001
3	011127	002
3	011127	003
3	011145	002
3	011145	004
1	011145	005
1	011153	001
1	011153	002
1	011153	003
1	011153	004
3	011153	005
1	011153	006
3	011161	004
3	011161	007
3	011161	009
3	011161	010
3	011161	011
3	011178	001
3	011185	001
3	011185	002
3	011188	001
3	011208	001
1	011210	001
3	011210	003
3	011213	002
3	011228	001
1	011245	003
3	011265	002
3	011270	002
3	011276	001
3	011283	003
3	011283	006
3	011283	008
3	011283	010
3	011284	001
3	011284	002
3	011287	001
3	011294	002
3	011300	003
3	011316	001
3	011316	003
3	011316	004
3	011323	002
3	011324	002
3	011325	001
3	011325	004
3	011325	005
3	011338	001
3	011340	002
3	011359	001
3	011359	002
3	011361	002
3	011366	001
1	011366	002
3	011386	001
3	011386	003
3	011418	002
3	011444	001
3	011446	001
1	011459	002
1	011459	004
3	011459	006
3	011467	003
3	011467	005
3	011483	004
3	011491	004
3	011496	002
3	011521	001
3	011521	002
3	011522	007
3	011522	008
3	011522	009
3	011522	010
3	011522	011
3	011522	012
3	011522	013
1	011525	001
3	011525	002
3	011525	003
3	011525	004
3	011529	002
3	011552	001
3	011552	002
3	011552	003
3	011552	004
3	011552	005
3	011552	006
3	011556	003
3	011556	004
3	011557	001
1	011559	001
3	011559	002
3	011559	003
3	011559	004
3	011583	002
3	011600	001
3	011600	003
3	011601	003
3	011601	006
3	011602	001
3	011602	003
3	011612	001
3	011613	002
3	011613	004
3	011620	002
3	011635	003
3	011635	006
3	011641	003
3	011641	006
3	011642	002
3	011657	001
3	011664	001
3	011664	002
3	011664	003
3	011664	004
3	011664	005
3	011664	006
1	011665	001
3	011673	001
3	011679	001
3	011683	001
3	011685	003
3	011689	001
3	011695	002
3	011695	003
3	011702	003
3	011707	001
3	011707	002
3	011719	001
3	011719	003
3	011719	004
3	011719	005
3	011719	006
3	011719	007
3	011719	009
1	011719	010
3	011719	011
1	011719	012
3	011719	013
3	011719	014
3	011721	001
3	011721	002
3	011722	002
3	011730	001
3	011738	004
3	011745	001
3	011745	003
3	011748	001
3	011751	001
3	011751	002
3	011751	003
3	011751	004
3	011751	005
3	011752	003
3	011752	004
1	011757	001
1	011757	002
1	011757	004
3	011771	001
3	011771	002
3	011771	003
3	011771	004
3	011771	005
3	011771	006
3	011771	007
3	011777	001
3	011777	002
1	011790	001
1	011792	001
3	011792	003
1	011792	004
3	011793	005
3	011793	008
3	011793	009
3	011795	001
3	011808	003
3	011808	006
3	011808	009
3	011808	011
3	011808	012
3	011808	015
3	011808	016
3	011808	017
3	011808	018
3	011814	001
3	011814	002
3	011835	003
3	011835	006
3	011835	007
3	011836	003
3	011836	006
3	011836	007
3	011838	002
1	011839	001
1	011839	003
1	011839	004
1	011856	003
1	011856	004
1	011856	005
1	011856	006
1	011856	007
3	011860	001
3	011860	002
1	011870	001
3	011878	003
3	011878	005
3	011891	001
3	011891	002
1	011909	002
3	011914	001
3	011945	001
3	011949	001
3	011950	006
3	011950	007
3	011950	009
3	011958	002
3	011958	003
3	011960	004
1	011961	001
1	011963	001
3	011963	002
3	011963	003
3	011963	004
3	011964	001
3	011971	001
3	011971	002
3	011977	001
3	011983	002
3	011984	001
3	012003	001
1	012015	001
3	012026	002
3	012034	001
3	012034	004
3	012034	005
3	012034	006
1	012041	001
3	012052	001
3	012071	002
3	012071	004
1	012093	001
3	012093	002
3	012093	005
3	012093	006
1	012093	007
3	012095	001
3	012097	001
3	012102	001
1	012104	001
3	012111	002
3	012111	004
3	012122	001
3	012122	002
3	012125	002
3	012125	003
3	012126	001
3	012128	002
3	012128	003
1	012141	001
1	012141	002
3	012142	001
3	012142	002
3	012142	003
3	012142	004
3	012142	005
3	012142	006
3	012142	007
3	012142	008
3	012142	009
3	012142	010
3	012145	003
3	012148	001
3	012148	002
3	012148	003
1	012151	008
1	012151	009
1	012151	010
3	012154	001
3	012155	001
3	012157	001
3	012164	001
3	012164	002
3	012164	003
1	012179	001
3	012184	002
3	012193	005
3	012209	001
3	012209	002
3	012223	001
3	012223	002
3	012248	001
3	012249	001
3	012249	002
3	012249	003
1	012250	001
1	012250	002
1	012250	005
3	012254	002
3	012259	002
3	012265	001
3	012265	002
3	012265	003
3	012281	001
3	012283	003
3	012283	004
3	012285	001
3	012301	001
3	012302	002
3	012302	004
3	012302	005
3	012302	006
3	012329	001
3	012329	002
3	012339	007
3	012339	008
3	012339	009
1	012342	003
3	012359	003
3	012359	004
3	012365	005
3	012366	002
3	012376	002
1	012380	001
3	012382	002
3	012383	001
3	012394	002
3	012402	001
3	012418	002
3	012419	004
3	012421	001
3	012421	002
3	012427	002
3	012427	003
1	012429	001
3	012455	002
1	012462	001
3	012470	001
3	012485	002
3	012486	001
3	012486	003
3	012486	004
3	012486	005
3	012487	001
3	012489	001
3	012515	001
3	012516	001
3	012524	001
3	012524	004
3	012541	002
3	012541	003
3	012542	004
3	012546	001
3	012575	003
3	012583	001
3	012594	001
3	012594	002
1	012616	004
1	012616	005
1	012623	001
1	012623	003
3	012649	001
3	012657	003
3	012665	001
3	012674	001
3	012675	004
